S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,Unnamed: 7,Unnamed: 8,Ms. Zoya Mahboob,3
118,AL-2002,Artificial Intelligence Lab (CY),1.0,BCY-6A,Mr. Ahsan Shakeel Malik,,,,,
119,AL-2002,Artificial Intelligence Lab (CY),1.0,BCY-6B,Mr. Ahsan Shakeel Malik,,,,,
120,CL-3001,Computer Networks Lab (SE),1.0,BSE-6A,Ms. Zoya Mahboob,,,,,
121,CL-3001,Computer Networks Lab (SE),1.0,BSE-6B,Ms. Zoya Mahboob,,,,,
122,AL-2002,Artificial Intelligence Lab (SE),1.0,BSE-6A,Ms. Noor Ul Ain ,,,,,
123,AL-2002,Artificial Intelligence Lab (SE),1.0,BSE-6B,Ms. Noor Ul Ain ,,,,,
BS Batch 2023 and Earlier Batches Repeat Course,AL-2002,Artificial Intelligence Lab (SE),1.0,,,,,,,
124,EL-2003,Computer Organization and Assembly Language Lab (CS),1.0,BCS-6A,,,,,,
BS Batch 2022 and Earlier Batches Repeat Course,EL-2003,Computer Organization and Assembly Language Lab (CS),1.0,,,,,,,
125,AL-4002,Computer Vision Lab (AI),1.0,BAI-8A,Mr. Talha Tariq,,35,,,
126,DL-2004,Fundamentals of Big Data Analytics Lab  (DS),1.0,BDS-8A,Ms. Nayyera Wasim,,15,,,
127,SL-3003,Web Engineering Lab,1.0,BSE-8A,Ms. Noor Ul Ain ,,,,,
